t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,2,400,256,10,1.0,8.88008531298765,959.4661493981523
2,lyapunov_greedy_oracle,2,400,256,10,1.0,13.004421238016967,923.4738044214646
3,lyapunov_greedy_oracle,2,400,256,10,1.0,9.841300185546425,1036.1030722362593
4,lyapunov_greedy_oracle,2,400,256,10,1.0,12.154610530267783,1049.2505441574592
5,lyapunov_greedy_oracle,2,400,256,10,1.0,8.335887264984565,873.4430654566744
6,lyapunov_greedy_oracle,2,400,256,10,1.0,14.61710088060154,995.6553631594774
7,lyapunov_greedy_oracle,2,400,256,10,1.0,4.781303982850686,1153.4419672505926
8,lyapunov_greedy_oracle,2,400,256,10,1.0,5.543232266003408,1039.4895052671066
9,lyapunov_greedy_oracle,2,400,256,10,1.0,8.098402432255037,770.9259556605516
10,lyapunov_greedy_oracle,2,400,256,10,1.0,9.424487528882562,1096.249222073516
11,lyapunov_greedy_oracle,2,400,256,10,1.0,11.722662898829027,1047.9294364946293
12,lyapunov_greedy_oracle,2,400,256,10,1.0,12.445429739915184,1242.7788959736001
13,lyapunov_greedy_oracle,2,400,256,10,1.0,12.819746589509762,999.7002626631352
14,lyapunov_greedy_oracle,2,400,256,10,1.0,3.3699846168649135,1224.287250235633
15,lyapunov_greedy_oracle,2,400,256,10,1.0,18.42603817391999,911.8510213435583
16,lyapunov_greedy_oracle,2,400,256,10,1.0,8.335782268414842,859.8949750033144
17,lyapunov_greedy_oracle,2,400,256,10,1.0,11.244870101700634,734.520553212719
18,lyapunov_greedy_oracle,2,400,256,10,1.0,10.885439187749459,894.5522428415712
19,lyapunov_greedy_oracle,2,400,256,10,1.0,4.102899607035534,1284.8895235770165
20,lyapunov_greedy_oracle,2,400,256,10,1.0,13.4065358668742,987.0216827400219
21,lyapunov_greedy_oracle,2,400,256,10,1.0,15.874144466309565,1270.2398184409167
22,lyapunov_greedy_oracle,2,400,256,10,1.0,5.276453292308623,927.4978081475077
23,lyapunov_greedy_oracle,2,400,256,10,1.0,10.526339494057122,1106.023166493495
24,lyapunov_greedy_oracle,2,400,256,10,1.0,9.731127877721264,853.7953864312719
25,lyapunov_greedy_oracle,2,400,256,10,1.0,8.798915457409304,857.562764857843
26,lyapunov_greedy_oracle,2,400,256,10,1.0,5.429451963127229,1044.56129223106
27,lyapunov_greedy_oracle,2,400,256,10,1.0,15.142322139079656,1042.013246152143
28,lyapunov_greedy_oracle,2,400,256,10,1.0,4.890346968689872,976.4460874304953
29,lyapunov_greedy_oracle,2,400,256,10,1.0,18.03992122144656,1402.0841419291833
