t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,200,512,50,1.0,0.8623648928642655,957.1040028540651
2,lyapunov_greedy_oracle,1,200,512,50,1.0,12.504669797423427,1613.4071017845106
3,lyapunov_greedy_oracle,1,200,512,50,1.0,8.078117623505715,600.8625947765021
4,lyapunov_greedy_oracle,1,200,512,50,1.0,4.5508610372773965,1265.7812574105335
5,lyapunov_greedy_oracle,1,200,512,50,1.0,0.7467502987667203,1373.848628784257
6,lyapunov_greedy_oracle,1,200,512,50,1.0,10.222100027239009,666.2349921612168
7,lyapunov_greedy_oracle,1,200,512,50,1.0,13.780087604624518,867.9308215746244
8,lyapunov_greedy_oracle,1,200,512,50,1.0,14.683950771384035,1092.8376633577345
9,lyapunov_greedy_oracle,1,200,512,50,1.0,12.195027872141068,828.2545444859215
10,lyapunov_greedy_oracle,1,200,512,50,1.0,21.8659807021644,822.0316097252168
11,lyapunov_greedy_oracle,1,200,512,50,1.0,13.160140007220766,713.7050658694857
12,lyapunov_greedy_oracle,1,200,512,50,1.0,12.281812231232852,865.0137728413195
13,lyapunov_greedy_oracle,1,200,512,50,1.0,15.572707577641285,1023.1456190938549
14,lyapunov_greedy_oracle,1,200,512,50,1.0,13.814442095875755,1106.9858355285926
15,lyapunov_greedy_oracle,1,200,512,50,1.0,9.165313377720292,971.9350701255341
16,lyapunov_greedy_oracle,1,200,512,50,1.0,4.689198519223133,1280.1641077176089
17,lyapunov_greedy_oracle,1,200,512,50,1.0,15.902983752800932,1000.482427063471
18,lyapunov_greedy_oracle,1,200,512,50,1.0,11.965483994224646,971.1932307090017
19,lyapunov_greedy_oracle,1,200,512,50,1.0,7.4320346362216405,1107.8522312227149
20,lyapunov_greedy_oracle,1,200,512,50,1.0,20.52335272138349,652.2775487562293
21,lyapunov_greedy_oracle,1,200,512,50,1.0,4.611239272220392,1247.5243632927936
22,lyapunov_greedy_oracle,1,200,512,50,1.0,7.143070573594519,846.4056656755783
23,lyapunov_greedy_oracle,1,200,512,50,1.0,8.265229979096942,1116.0909435162612
24,lyapunov_greedy_oracle,1,200,512,50,1.0,6.460871602925238,1079.495291813854
25,lyapunov_greedy_oracle,1,200,512,50,1.0,14.492273794318999,861.2996701130912
26,lyapunov_greedy_oracle,1,200,512,50,1.0,11.291808450085496,820.0090491205881
27,lyapunov_greedy_oracle,1,200,512,50,1.0,4.447700640471181,1144.0857331448565
