q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
3457555.610737595,3457555.610737595,0.0,0.0,0.0,1.3846153846153846,3.0,3457555.610737595,5.64553505480839,0.8848814200819195,4.1326331177550255,0.21684172056124357,0.21684172056124357,0.21684172056124357,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,0.0,0.5,0.3,400.0,1,0,1,1,lagrangian_ppo,2025,800.0
2663733.4756864137,2663733.4756864137,3457155.610737595,0.0,0.0,1.4923076923076923,3.0,2663733.4756864137,4.067929677797563,0.918466828469461,3.8380517109080907,0.29048707227297726,0.29048707227297726,0.29048707227297726,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,3457155.610737595,0.5,0.3,400.0,1,0,1,2,lagrangian_ppo,2025,800.0
3153066.9346954655,3153066.9346954655,6120489.086424008,0.0,0.0,1.276923076923077,3.0,3153066.9346954655,5.073150559145529,0.8983462040579095,4.020102036433323,0.2449744908916693,0.2449744908916693,0.2449744908916693,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,6120489.086424008,0.5,0.3,400.0,1,0,1,3,lagrangian_ppo,2025,800.0
3967288.6656902498,3967288.6656902498,9273156.021119474,0.0,0.0,1.276923076923077,3.0,3967288.6656902498,6.534640756413911,0.8606331742032592,4.314499436916226,0.17137514077094343,0.17137514077094343,0.17137514077094343,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,9273156.021119474,0.5,0.3,400.0,1,0,1,4,lagrangian_ppo,2025,800.0
2431826.959208733,2431826.959208733,13240044.686809722,0.0,0.0,1.3846153846153846,2.0,2431826.959208733,4.22549840076262,0.8760888069833187,3.865064228134503,0.2837339429663742,0.2837339429663742,0.2837339429663742,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,13240044.686809722,0.5,0.3,400.0,1,0,1,5,lagrangian_ppo,2025,800.0
3859455.4264343744,3859455.4264343744,15671471.646018455,0.0,0.0,1.276923076923077,3.0,3859455.4264343744,6.352817335531843,0.8659457354002718,4.277013283274778,0.1807466791813054,0.1807466791813054,0.1807466791813054,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,15671471.646018455,0.5,0.3,400.0,1,0,1,6,lagrangian_ppo,2025,800.0
2716017.381336158,2716017.381336158,19530527.07245283,0.0,0.0,1.276923076923077,3.0,2716017.381336158,4.181278951119062,0.9164035343550643,3.8574230163081253,0.28564424592296866,0.28564424592296866,0.28564424592296866,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,19530527.07245283,0.5,0.3,400.0,1,0,1,7,lagrangian_ppo,2025,800.0
3000839.896903563,3000839.896903563,22246144.45378899,0.0,0.0,1.1692307692307693,3.0,3000839.896903563,4.772897944755481,0.9048022972323098,3.9634126168827963,0.2591468457793009,0.2591468457793009,0.2591468457793009,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,22246144.45378899,0.5,0.3,400.0,1,0,1,8,lagrangian_ppo,2025,800.0
2378760.2985745003,2378760.2985745003,25246584.35069255,0.0,0.0,1.4923076923076923,2.0,2378760.2985745003,4.084256506641031,0.8798052182473023,3.8408227069274368,0.2897943232681408,0.2897943232681408,0.2897943232681408,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,25246584.35069255,0.5,0.3,400.0,1,0,1,9,lagrangian_ppo,2025,800.0
3028734.7085291874,3028734.7085291874,27624944.64926705,0.0,0.0,1.4923076923076923,3.0,3028734.7085291874,4.828689108558901,0.9036327573010264,3.9738080986874165,0.25654797532814594,0.25654797532814594,0.25654797532814594,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,27624944.64926705,0.5,0.3,400.0,1,0,1,10,lagrangian_ppo,2025,800.0
