cfg_name,rc,elapsed_s,rss_max_bytes,cpu_time_s,V,per_slot_time_ms_mean
episode_v_0.5_iflow,0,0.5755360999974073,67092480,0.0,,
episode_v_0.5_perf,0,0.5752390999987256,67096576,0.0,0.5,28.76195499993628
