t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,1,400,128,50,1.0,12.384561299150265,1155.1321753307336
2,raucb_plus,1,400,128,50,1.0,11.068752354171536,1095.365310194361
3,raucb_plus,1,400,128,50,1.0,5.990726455286794,680.9531256843252
4,raucb_plus,1,400,128,50,1.0,11.776752767824787,872.263902201071
5,raucb_plus,1,400,128,50,1.0,5.506617828151736,1391.661694203569
6,raucb_plus,1,400,128,50,1.0,14.74686547136667,983.7900892621311
7,raucb_plus,1,400,128,50,1.0,10.898266677613812,904.2933419039974
8,raucb_plus,1,400,128,50,1.0,9.578078535514905,1115.8642857392506
9,raucb_plus,1,400,128,50,1.0,11.619309861219392,1008.1574250495967
10,raucb_plus,1,400,128,50,1.0,6.126678123377012,1039.9554546493482
11,raucb_plus,1,400,128,50,1.0,-0.11649000153030542,892.2806454177405
12,raucb_plus,1,400,128,50,1.0,3.95638718263519,701.6671838084926
13,raucb_plus,1,400,128,50,1.0,10.974019235974417,1175.7055078939254
14,raucb_plus,1,400,128,50,1.0,8.770577848032111,985.5605154555477
15,raucb_plus,1,400,128,50,1.0,12.370637505794141,1050.099810565863
16,raucb_plus,1,400,128,50,1.0,10.787331054100402,765.1055797921045
17,raucb_plus,1,400,128,50,1.0,17.435331761111975,767.6280863033661
18,raucb_plus,1,400,128,50,1.0,7.830672417295066,1099.6552836864992
19,raucb_plus,1,400,128,50,1.0,10.406449179443651,1058.6062793433703
20,raucb_plus,1,400,128,50,1.0,10.309589390936045,1269.4051371140306
21,raucb_plus,1,400,128,50,1.0,15.173109454419723,958.8982097556715
22,raucb_plus,1,400,128,50,1.0,5.709592941126538,729.5368773036297
23,raucb_plus,1,400,128,50,1.0,12.911202321530803,553.2364537404394
24,raucb_plus,1,400,128,50,1.0,5.497424697618958,796.3974383611783
25,raucb_plus,1,400,128,50,1.0,1.4956834858180343,1304.5253000860741
26,raucb_plus,1,400,128,50,1.0,14.211718234134,1140.106375975652
27,raucb_plus,1,400,128,50,1.0,4.027220688338874,747.3837963116038
28,raucb_plus,1,400,128,50,1.0,8.685874619738032,639.7781991019708
29,raucb_plus,1,400,128,50,1.0,8.49484160920444,612.8107148450101
30,raucb_plus,1,400,128,50,1.0,11.025676728292755,1175.642251442164
31,raucb_plus,1,400,128,50,1.0,2.5943850949345704,1074.0112456138474
32,raucb_plus,1,400,128,50,1.0,13.762329939546706,1271.568978044632
33,raucb_plus,1,400,128,50,1.0,9.350748487310106,875.1010081044716
34,raucb_plus,1,400,128,50,1.0,8.156557856111862,690.6543939747119
35,raucb_plus,1,400,128,50,1.0,13.546264558745,1109.724450809425
36,raucb_plus,1,400,128,50,1.0,5.049774082026554,1117.4276722957904
37,raucb_plus,1,400,128,50,1.0,12.080267643089337,1127.3048426817963
38,raucb_plus,1,400,128,50,1.0,6.720410212247526,724.9297266097034
39,raucb_plus,1,400,128,50,1.0,13.125775586416982,861.8501460025457
40,raucb_plus,1,400,128,50,1.0,12.120441427109238,1215.9756024229087
41,raucb_plus,1,400,128,50,1.0,21.248248849465824,881.6143968182723
42,raucb_plus,1,400,128,50,1.0,4.027939685747901,588.3526192750901
43,raucb_plus,1,400,128,50,1.0,8.582300926752588,1056.2757315538345
44,raucb_plus,1,400,128,50,1.0,13.933759314457568,791.308424460523
45,raucb_plus,1,400,128,50,1.0,11.790083510031195,1219.4709888622167
