t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,1,800,128,25,1.0,2.3436469123370998,1110.2803096297384
2,raucb_plus,1,800,128,25,1.0,7.729479116325365,1296.2075028377162
3,raucb_plus,1,800,128,25,1.0,15.368253625789478,974.428840062136
4,raucb_plus,1,800,128,25,1.0,16.972845622040268,1443.1823228224453
5,raucb_plus,1,800,128,25,1.0,9.180469572327494,1038.5008206562945
6,raucb_plus,1,800,128,25,1.0,6.509609819219339,774.0315402853848
7,raucb_plus,1,800,128,25,1.0,12.589447809576606,518.8381866972986
8,raucb_plus,1,800,128,25,1.0,20.79882620213406,1080.6232341400212
9,raucb_plus,1,800,128,25,1.0,5.928326094628685,637.6269952622358
10,raucb_plus,1,800,128,25,1.0,-0.18908742079258012,1354.4126255948688
11,raucb_plus,1,800,128,25,1.0,20.48383717348944,987.9917093993192
12,raucb_plus,1,800,128,25,1.0,3.0544038179678425,1048.796472669432
13,raucb_plus,1,800,128,25,1.0,14.620958339280294,628.5822575435353
14,raucb_plus,1,800,128,25,1.0,18.678047724521925,959.0121546754501
15,raucb_plus,1,800,128,25,1.0,4.738719107182533,1043.1142624828933
16,raucb_plus,1,800,128,25,1.0,13.570012875813935,1177.4466838356
17,raucb_plus,1,800,128,25,1.0,6.975506347193395,1123.8120013878386
18,raucb_plus,1,800,128,25,1.0,13.991502896716863,616.5236563699493
19,raucb_plus,1,800,128,25,1.0,17.736096127385263,891.6439561247333
20,raucb_plus,1,800,128,25,1.0,15.21922966568847,807.9862517647487
21,raucb_plus,1,800,128,25,1.0,0.061323644564764024,625.520524487066
22,raucb_plus,1,800,128,25,1.0,3.822354686332683,823.8729864051334
23,raucb_plus,1,800,128,25,1.0,10.721522965899322,723.3808035284285
24,raucb_plus,1,800,128,25,1.0,12.5018381165645,862.1020779223004
25,raucb_plus,1,800,128,25,1.0,18.040118585728603,1080.6426726030074
26,raucb_plus,1,800,128,25,1.0,11.062149286970332,1262.9953727354605
27,raucb_plus,1,800,128,25,1.0,3.773558367363905,1140.42606107245
28,raucb_plus,1,800,128,25,1.0,8.307196510127964,671.4643648097501
29,raucb_plus,1,800,128,25,1.0,1.1348405812765812,1056.0456498347885
30,raucb_plus,1,800,128,25,1.0,10.888014367534687,765.7299718006935
31,raucb_plus,1,800,128,25,1.0,24.60519252651264,940.8868468705612
32,raucb_plus,1,800,128,25,1.0,8.836393333675135,1065.1277740847415
33,raucb_plus,1,800,128,25,1.0,15.839894568287862,735.9904393697568
34,raucb_plus,1,800,128,25,1.0,11.041647775619698,1044.1099347711981
35,raucb_plus,1,800,128,25,1.0,11.877748024670126,1020.1822467996008
36,raucb_plus,1,800,128,25,1.0,14.838231339638542,750.5959749984211
37,raucb_plus,1,800,128,25,1.0,9.896874474261786,1186.6617732129894
38,raucb_plus,1,800,128,25,1.0,11.863785347191957,1575.8129905355768
39,raucb_plus,1,800,128,25,1.0,5.406723581961282,784.4849240661737
40,raucb_plus,1,800,128,25,1.0,8.151698180201247,1187.8271534688638
41,raucb_plus,1,800,128,25,1.0,5.571600119783813,945.7044377400248
42,raucb_plus,1,800,128,25,1.0,10.285791869238224,918.2194290411603
43,raucb_plus,1,800,128,25,1.0,7.751095262398792,853.2429947319281
44,raucb_plus,1,800,128,25,1.0,9.595248992020062,991.7624275084024
45,raucb_plus,1,800,128,25,1.0,2.4936244597616097,942.4188802710463
46,raucb_plus,1,800,128,25,1.0,5.95876674212377,1361.8270112887494
47,raucb_plus,1,800,128,25,1.0,10.761044482139512,832.5088115431306
48,raucb_plus,1,800,128,25,1.0,8.901416109700875,954.7389936031093
49,raucb_plus,1,800,128,25,1.0,9.075491599722584,1007.7337539499545
50,raucb_plus,1,800,128,25,1.0,7.980535425126746,841.0176013752698
51,raucb_plus,1,800,128,25,1.0,13.950512609574929,1029.8726339906393
52,raucb_plus,1,800,128,25,1.0,11.28821323855951,1105.9481191985199
53,raucb_plus,1,800,128,25,1.0,6.317735786915945,1183.844931260993
54,raucb_plus,1,800,128,25,1.0,13.107672354013534,1115.0891600042407
55,raucb_plus,1,800,128,25,1.0,13.824664778337205,1164.897325388176
56,raucb_plus,1,800,128,25,1.0,13.519617167237534,899.8443460357314
57,raucb_plus,1,800,128,25,1.0,17.107732645486543,1103.246182442331
58,raucb_plus,1,800,128,25,1.0,11.964646910551895,516.4329405197715
59,raucb_plus,1,800,128,25,1.0,13.364118020865947,831.4320976225156
60,raucb_plus,1,800,128,25,1.0,7.146408364251318,619.3566954822398
61,raucb_plus,1,800,128,25,1.0,13.337527304153108,979.481949401465
62,raucb_plus,1,800,128,25,1.0,9.95853863826035,1004.5514632659172
63,raucb_plus,1,800,128,25,1.0,-1.9357449727706815,1233.9002339643557
64,raucb_plus,1,800,128,25,1.0,13.074451569687778,1031.9374465597361
65,raucb_plus,1,800,128,25,1.0,20.695446402780135,1029.5298487040882
66,raucb_plus,1,800,128,25,1.0,16.739298403982144,735.3308431882663
67,raucb_plus,1,800,128,25,1.0,12.660630203699558,548.1010904539844
68,raucb_plus,1,800,128,25,1.0,15.462275818920379,1149.4564464394268
69,raucb_plus,1,800,128,25,1.0,1.8689643287338455,1122.3434570661698
70,raucb_plus,1,800,128,25,1.0,13.53936022583672,1097.092964788742
71,raucb_plus,1,800,128,25,1.0,8.23611653144904,896.7974548497077
72,raucb_plus,1,800,128,25,1.0,14.282847215995853,740.520890001211
73,raucb_plus,1,800,128,25,1.0,6.963265519923338,1106.6395165487686
74,raucb_plus,1,800,128,25,1.0,7.091798124768092,1296.3265123721785
75,raucb_plus,1,800,128,25,1.0,10.957577270973005,1061.1129138927074
76,raucb_plus,1,800,128,25,1.0,12.331100667669517,1231.173039672415
77,raucb_plus,1,800,128,25,1.0,12.712950724117615,1036.8184485045324
78,raucb_plus,1,800,128,25,1.0,5.656647780738836,949.815388131344
79,raucb_plus,1,800,128,25,1.0,7.398585694201435,1244.3331847049722
80,raucb_plus,1,800,128,25,1.0,6.575944930837361,944.6250571609537
81,raucb_plus,1,800,128,25,1.0,7.634673176902593,769.5346364586762
